set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
,,0.048,0.016,38,0.002,0.321,0.071,  4.49, 4.38,0.000,-27, -15, 57,
,,,,,,1.000,0.868,  3.22, 3.18,0.001,-18,  -9, 54,
,,0.731,0.201,12,0.058,0.373,0.083,  4.43, 4.33,0.000,-39,  -3, 18,
,,0.157,0.042,27,0.008,0.481,0.110,  4.34, 4.24,0.000,  3, -39, 24,
,,0.339,0.091,20,0.018,0.513,0.116,  4.31, 4.21,0.000,  6, -99, -3,
,,,,,,0.984,0.377,  3.77, 3.70,0.000,  6, -99, 12,
,,0.838,0.233,10,0.080,0.518,0.116,  4.31, 4.21,0.000, 33, -27,-24,
,,0.731,0.201,12,0.058,0.558,0.124,  4.28, 4.18,0.000, 33,  15,  9,
,,0.021,0.008,46,0.001,0.750,0.188,  4.12, 4.03,0.000,-57, -39,-18,
,,,,,,0.882,0.243,  3.98, 3.91,0.000,-48, -45,-15,
,,0.838,0.233,10,0.080,0.806,0.210,  4.07, 3.98,0.000, 66,  -9,-27,
,,,,,,0.875,0.243,  3.99, 3.91,0.000, 60,   0,-33,
,,0.140,0.040,28,0.007,0.808,0.210,  4.06, 3.98,0.000,-12, -24, 18,
,,,,,,0.846,0.228,  4.03, 3.95,0.000,  3, -12, 18,
,,0.419,0.114,18,0.024,0.831,0.221,  4.04, 3.96,0.000,-45, -60, 36,
,,0.675,0.186,13,0.050,0.870,0.243,  4.00, 3.92,0.000,-42,   3,-36,
,,,,,,1.000,0.968,  3.15, 3.11,0.001,-48,   9,-42,
,,0.464,0.124,17,0.028,0.883,0.243,  3.98, 3.91,0.000, -6,  45, -9,
,,0.955,0.333,7,0.137,0.934,0.292,  3.91, 3.83,0.000, 54, -66, 36,
,,0.091,0.029,32,0.004,0.951,0.313,  3.87, 3.80,0.000,-51, -45, 36,
,,,,,,0.972,0.351,  3.82, 3.75,0.000,-48, -36, 27,
,,,,,,0.990,0.383,  3.73, 3.67,0.000,-57, -36, 21,
,,0.990,0.409,5,0.204,0.966,0.342,  3.84, 3.77,0.000, 36,   0,  9,
,,0.924,0.293,8,0.114,0.973,0.351,  3.82, 3.75,0.000,-12, -54, -6,
,,0.990,0.409,5,0.204,0.987,0.381,  3.75, 3.69,0.000,-42,  36, 39,
,,0.838,0.233,10,0.080,0.989,0.381,  3.74, 3.68,0.000,-39, -54,-42,
,,0.838,0.233,10,0.080,0.990,0.383,  3.73, 3.67,0.000,-21, -33,-45,
,,0.955,0.333,7,0.137,0.991,0.383,  3.73, 3.66,0.000, 42,  27,-18,
,,0.977,0.365,6,0.166,0.997,0.440,  3.66, 3.60,0.000,-45,  -9, -9,
,,0.924,0.293,8,0.114,0.997,0.440,  3.66, 3.60,0.000, 24,   0, 69,
,,0.977,0.365,6,0.166,0.997,0.440,  3.65, 3.59,0.000, 15, -39, 51,
,,0.786,0.227,11,0.068,0.998,0.479,  3.62, 3.56,0.000,  3,  45,-24,
,,0.885,0.268,9,0.095,0.999,0.487,  3.61, 3.55,0.000,-57,  -3,  6,
,,,,,,1.000,0.788,  3.30, 3.26,0.001,-48,  -3,  6,
,,0.977,0.365,6,0.166,1.000,0.574,  3.53, 3.47,0.000, 21, -66,  3,
,,0.977,0.365,6,0.166,1.000,0.574,  3.51, 3.46,0.000, 33, -54,  3,
,,0.990,0.409,5,0.204,1.000,0.574,  3.50, 3.45,0.000, -3,  -6,-39,
,,0.990,0.409,5,0.204,1.000,0.746,  3.37, 3.32,0.000, 45, -75, 42,
