set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
,,0.031,0.007,43,0.001,0.008,0.004,  5.36, 5.18,0.000, -6,  12, 21,
,,0.000,0.000,238,0.000,0.015,0.007,  5.22, 5.05,0.000,  0, -48, 51,
,,,,,,0.032,0.011,  5.06, 4.91,0.000,  3, -72, 51,
,,,,,,0.046,0.012,  4.99, 4.84,0.000, 36, -51, 60,
,,0.000,0.000,162,0.000,0.026,0.010,  5.11, 4.95,0.000, 24,  -3, 63,
,,,,,,0.099,0.021,  4.82, 4.68,0.000, 30,  -9, 60,
,,,,,,0.271,0.041,  4.53, 4.42,0.000, 48,  -3, 54,
,,0.042,0.008,40,0.002,0.028,0.010,  5.09, 4.94,0.000,-15, -24, -6,
,,0.004,0.001,66,0.000,0.048,0.012,  4.98, 4.83,0.000, 51, -30, 54,
,,,,,,0.124,0.024,  4.77, 4.64,0.000, 57, -21, 39,
,,,,,,0.942,0.206,  3.88, 3.81,0.000, 51, -42, 51,
,,0.011,0.003,54,0.000,0.103,0.021,  4.81, 4.68,0.000, 36,  33,  9,
,,,,,,0.890,0.174,  3.97, 3.89,0.000, 42,  39, 21,
,,0.256,0.039,23,0.013,0.160,0.030,  4.69, 4.57,0.000, -9, -81, 30,
,,0.166,0.030,27,0.008,0.167,0.031,  4.68, 4.56,0.000, 12, -99, 15,
,,0.001,0.000,89,0.000,0.178,0.031,  4.66, 4.54,0.000,  9,  30, 54,
,,,,,,0.966,0.230,  3.83, 3.76,0.000,  0,  27, 51,
,,,,,,1.000,0.555,  3.45, 3.40,0.000, 18,  18, 60,
,,0.794,0.162,11,0.072,0.223,0.036,  4.60, 4.48,0.000,-33, -63, 39,
,,0.108,0.020,31,0.005,0.228,0.036,  4.59, 4.47,0.000, 12, -81, 33,
,,,,,,0.993,0.317,  3.70, 3.64,0.000, 15, -87, 27,
,,0.038,0.008,41,0.002,0.235,0.036,  4.58, 4.46,0.000, -9,  48, 18,
,,,,,,0.963,0.227,  3.84, 3.77,0.000, -9,  42, 27,
,,0.844,0.179,10,0.084,0.263,0.040,  4.54, 4.43,0.000,-42, -15, 66,
,,,,,,0.840,0.153,  4.02, 3.94,0.000,-48, -15, 60,
,,0.001,0.000,78,0.000,0.292,0.043,  4.51, 4.40,0.000, 45, -69,  3,
,,,,,,0.814,0.144,  4.05, 3.97,0.000, 45, -48, 18,
,,,,,,1.000,0.472,  3.52, 3.47,0.000, 48, -51,  3,
,,0.230,0.036,24,0.012,0.326,0.046,  4.47, 4.37,0.000, 12, -36, 39,
,,0.352,0.051,20,0.020,0.429,0.062,  4.38, 4.27,0.000,-48,   9,-30,
,,0.028,0.007,44,0.001,0.430,0.062,  4.37, 4.27,0.000, 15,  51, 30,
,,,,,,0.885,0.173,  3.97, 3.89,0.000, 21,  39, 18,
,,,,,,0.959,0.226,  3.85, 3.78,0.000, 15,  27, 21,
,,0.685,0.122,13,0.052,0.488,0.070,  4.32, 4.23,0.000, 24, -90,-24,
,,0.185,0.031,26,0.009,0.603,0.092,  4.23, 4.14,0.000,  3,   6, 54,
,,,,,,0.854,0.158,  4.01, 3.93,0.000,  3,  -3, 60,
,,0.844,0.179,10,0.084,0.604,0.092,  4.23, 4.14,0.000, 21, -33,-18,
,,0.927,0.224,8,0.119,0.623,0.096,  4.22, 4.12,0.000, 15, -78,-39,
,,0.352,0.051,20,0.020,0.689,0.108,  4.16, 4.07,0.000, 12, -93,-21,
,,0.889,0.194,9,0.100,0.689,0.108,  4.16, 4.07,0.000,-39, -45, 33,
,,0.889,0.194,9,0.100,0.702,0.110,  4.15, 4.06,0.000,-39,  33,-15,
,,0.185,0.031,26,0.009,0.738,0.118,  4.12, 4.03,0.000, 21,  36, -9,
,,0.956,0.243,7,0.142,0.822,0.146,  4.04, 3.96,0.000,-21,  45, 48,
,,0.956,0.243,7,0.142,0.895,0.175,  3.96, 3.88,0.000, 18,   6,-18,
,,0.977,0.287,6,0.172,0.898,0.175,  3.96, 3.88,0.000,-15, -78,-57,
,,0.432,0.064,18,0.026,0.910,0.180,  3.94, 3.86,0.000,-45, -66, 24,
,,0.889,0.194,9,0.100,0.935,0.201,  3.90, 3.82,0.000,-12, -63, 27,
,,0.631,0.109,14,0.045,0.963,0.227,  3.84, 3.77,0.000,  3,  42,-24,
,,0.352,0.051,20,0.020,0.971,0.237,  3.81, 3.74,0.000,-21, -36,-39,
,,0.956,0.243,7,0.142,0.984,0.271,  3.76, 3.69,0.000, 12, -18, -6,
,,0.990,0.327,5,0.210,0.993,0.317,  3.70, 3.64,0.000, 15, -30, -6,
,,0.990,0.327,5,0.210,0.997,0.359,  3.65, 3.59,0.000,-15, -33, 33,
,,0.956,0.243,7,0.142,0.999,0.396,  3.60, 3.54,0.000, -6,  30,  9,
,,0.990,0.327,5,0.210,1.000,0.713,  3.32, 3.27,0.001,-39,   9, 45,
